S20426	Lent-Petuniastraat	Gelderland Province	51.860	5.870	Netherlands	based on the publication groot2024a (not exact location)	2024-07-16 13:52:04	jelena@localhost	2024-07-16 13:52:04	jelena@localhost
S06343	Easington	\N	53.640	0.132	Great Britain	\N	\N	\N	\N	\N
S06700	Wilburton	\N	52.352	0.188	Great Britain	\N	\N	\N	\N	\N
S04948	Regensburg "Kumpfmühl/Karthauserstrasse"	\N	49.000	12.040	Germany	\N	\N	\N	\N	\N
S03703	Seamer Carr	\N	54.233	-0.418	Great Britain	\N	\N	\N	\N	\N
S07269	Treanmacmurtagh	\N	54.061	-8.417	Ireland	\N	\N	\N	\N	\N
S07727	Linowo 25	\N	53.424	19.042	Poland	\N	\N	\N	\N	\N
S02333	Jipsingboertange	\N	52.960	7.100	Netherlands	\N	\N	\N	\N	\N
S07058	Island McHugh	\N	54.615	-7.154	Ireland	\N	\N	\N	\N	\N
S07814	Lubcze site 37	\N	50.452	23.660	Poland	\N	\N	\N	\N	\N
S11679	Postoloprty – Rvenice – sand quarry	Louny	50.363	13.700	Czechia / Czech Republic	\N	2023-02-22 14:40:50	jan@localhost	2023-03-07 14:45:25	jan@localhost
S11234	Södra Sallerup	\N	55.586	13.119	Sweden	within 2 km	2022-09-23 10:28:51	jelena@localhost	2022-09-23 10:28:51	jelena@localhost
S11931	Озерное; Ozernoe; Озерне; Ozerne	Zhytomyr region (Жито́мирська о́бласть)	50.178	28.733	Ukraine	location of the town	2023-03-29 08:40:35	jelena@localhost	2023-03-29 08:40:35	jelena@localhost
S10805	Chitila;  Chitila-Fermă	Ilfov County	44.524	25.972	Romania	\N	2022-05-02 10:08:52	jelena@localhost	2023-07-26 06:48:19	jelena@localhost
S11903	Сабатиновка 2; Sabatinovka 2; Сабатинівка 2; Sabatynivka 2	Kirovohrad region (Кіровоградська область)	48.178	30.184	Ukraine	location of the village	2023-03-28 07:58:10	jelena@localhost	2023-03-28 07:58:10	jelena@localhost
S04806	Jankowo 4/5	\N	52.460	18.040	Poland	\N	\N	\N	\N	\N
S07184	Oldtown	\N	53.228	-6.673	Ireland	\N	\N	\N	\N	\N
S06339	Durrington down	\N	51.197	-1.837	Great Britain	\N	\N	\N	\N	\N
S12951	Königsbrunn-Zeller	\N	48.270	10.890	Germany	Exact location in publication	2023-08-23 08:57:33	sam@localhost	2023-08-23 08:57:33	sam@localhost
S10728	Petrijevci-Verušed	\N	45.609	18.546	Croatia	within 3 km	2022-04-13 15:07:30	jelena@macelab-server.biochem.ucl.ac.uk	2023-04-20 15:29:15	Rscripts@localhost
S20469	Schiedam-Polderweg total	Zuid-Holland Province	51.917	4.402	Netherlands	based on the publication groot2024a (not exact location)	2024-07-18 10:50:46	jelena@localhost	2024-07-18 10:50:46	jelena@localhost
S01523	CHANGIS SUR MARNE	\N	48.960	3.010	France	\N	\N	\N	\N	\N
S10979	Drăgeşti	Vaslui County	46.872	27.390	Romania	\N	2022-05-16 14:09:24	jelena@localhost	2023-07-26 06:45:45	jelena@localhost
S13039	Pivnica	\N	45.050	18.283	Bosnia and Herzegovina	\N	2023-11-15 11:01:10	jan@localhost	2023-11-15 11:01:10	jan@localhost
S10974	Folteşti	Galați County	45.700	28.026	Romania	within 1 km	2022-05-16 14:09:24	jelena@localhost	2023-07-26 06:46:02	jelena@localhost
S11366	Asnӕs Havnemark; Årby 365	Western Sjælland	55.669	10.997	Denmark	\N	2022-12-19 14:18:52	jelena@localhost	2022-12-20 11:09:47	jelena@localhost
S11585	Серебрянское; Serebryanskoe	Donezk region (Донецкая область)	48.929	38.114	Ukraine	according to the map in Kotova 2015	2023-02-20 09:33:22	natalya@localhost	2023-02-20 09:33:22	natalya@localhost
S07753	Opatowice 42	\N	52.603	18.564	Poland	\N	\N	\N	\N	\N
S06270	Cefn Glas	\N	51.710	-3.546	Great Britain	\N	\N	\N	\N	\N
S12567	Băile Figa	\N	47.161	24.205	Romania	\N	2023-06-16 11:06:19	jan@localhost	2023-06-16 11:06:19	jan@localhost
S07036	Grangemore	\N	54.372	-6.689	Ireland	\N	\N	\N	\N	\N
S06257	Cannon Hill	\N	51.504	-0.709	Great Britain	\N	\N	\N	\N	\N
S10949	Dumeşti	Vaslui County	46.846	27.923	Romania	\N	2022-05-13 19:12:19	jelena@localhost	2023-07-26 06:46:51	jelena@localhost
S13547	Tokod–Altáró	Komárom–Esztergom	47.726	18.666	Hungary	coordinates: patte2021a	2024-09-06 15:06:49	robert@localhost	2024-09-06 15:06:49	robert@localhost
S02523	LA MARE DES MARES	\N	49.500	0.360	France	\N	\N	\N	\N	\N
S02159	Haagakkers	\N	51.560	5.440	Netherlands	\N	\N	\N	\N	\N
S20114	Mursalevo-Deveboaz	Blagoevgrad	42.112	23.037	Bulgaria	\N	2024-05-30 12:46:04	robert@localhost	2024-05-30 12:46:04	robert@localhost
S10376	Borgunda 106	\N	58.267	13.774	Sweden	\N	2022-03-07 13:31:57	sam@localhost	2022-03-07 13:31:57	sam@localhost
S07660	Lacko 6A	\N	52.836	18.103	Poland	\N	\N	\N	\N	\N
S20322	Westfrisiaweg-Markerwaardweg	Noord-Holland Province	52.690	5.160	Netherlands	based on the publication groot2024a (not exact location)	2024-07-02 13:28:10	jelena@localhost	2024-07-16 13:38:15	jelena@localhost
S08914	Skateholm II	\N	55.380	13.480	Sweden	\N	\N	\N	\N	\N
S07989	Jättendal 127	\N	61.992	17.303	Sweden	\N	\N	\N	\N	\N
S02518	LA JUPINERIE	\N	49.700	-1.880	France	\N	\N	\N	\N	\N
S20814	Marroquíes Bajos	\N	37.780	-3.790	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S21044	Ivanovice - Na Dílech	\N	49.305	17.093	Czechia / Czech Republic	Aproximate location	2025-07-17 11:46:47	yuzhen_li@localhost	2025-07-17 11:46:47	yuzhen_li@localhost
S10116	Vinča-Belo Brdo; Винча-Бело Брдо; Vinča; Винча; Belo Brdo; Бело Брдо	\N	44.762	20.623	Serbia	\N	2022-01-19 11:58:46	jelena@macelab-server.biochem.ucl.ac.uk	2023-03-01 11:32:35	jelena@localhost
S10269	Hermanov vinograd; Osijek-Hermanov vinograd; Osijek	\N	45.544	18.666	Croatia	\N	2022-03-23 10:39:57	claudia@localhost	2023-11-01 22:03:32	robert@localhost
S08963	Buchères – Prés Longuerois-Les Bordes	\N	48.230	4.100	France	\N	\N	\N	\N	\N
S13310	Krog-Pod Korom-Sever; Pod Kotom-Sever	\N	46.700	16.200	Slovenia	\N	2024-06-03 15:47:38	jan@localhost	2024-06-03 15:47:38	jan@localhost
S06502	Mile Oak	\N	50.857	-0.227	Great Britain	\N	\N	\N	\N	\N
S20964	Archsum	\N	54.872	8.401	Germany	Location in publication	2025-01-31 12:26:07	sam@localhost	2025-04-06 13:40:24	biad@localhost
S04791	Helmstedt-Runstedt	\N	52.210	11.000	Germany	\N	\N	\N	\N	\N
S03262	Pas de la Charmate	\N	44.980	5.460	France	\N	\N	\N	\N	\N
S02330	Jerf el Ahmar	\N	36.382	38.200	Syria	\N	2024-03-11 21:35:13	georgi_dankov@localhost	2024-03-11 21:35:13	georgi_dankov@localhost
S06729	Aghoo	\N	54.145	-8.318	Ireland	\N	\N	\N	\N	\N
S06432	Hill Close	\N	52.488	0.498	Great Britain	\N	\N	\N	\N	\N
S11157	Burgäschisee	\N	47.101	7.406	Switzerland	\N	\N	\N	2022-07-14 11:53:12	robert@localhost
S20809	ERAR Butarque	\N	40.320	-3.660	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S07951	Herrestad 353	\N	58.351	11.820	Sweden	\N	\N	\N	\N	\N
S10895	Slatina-Sofia; Слатина	\N	42.675	23.372	Bulgaria	\N	2022-06-27 11:44:07	claudia@localhost	2022-07-21 17:19:02	robert@localhost
S06441	Irthlingborough	\N	52.330	-0.588	Great Britain	\N	\N	\N	\N	\N
S10256	Bátaszék-Mérnökségi telep és 56-os út; Bátaszék-Mérnöki telep	\N	46.207	18.702	Hungary	\N	2022-04-29 13:13:21	sam@localhost	2023-04-20 14:44:06	Rscripts@localhost
S01281	Bernburg-Rösse	\N	51.790	11.720	Germany	\N	\N	\N	\N	\N
S06520	Nancecuke	\N	50.269	-5.262	Great Britain	\N	\N	\N	\N	\N
S04691	Dachstein "Am Geist"	\N	48.562	7.535	France	location: bickl2013a	2022-03-07 14:48:48	robert@localhost	2022-03-07 14:48:48	robert@localhost
S10655	Holm of Papa Westrey North	\N	59.340	-2.890	Great Britain	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S10780	Trestiana	\N	46.191	27.673	Romania	\N	2022-04-28 18:33:54	jelena@localhost	2023-06-16 18:25:41	jan@localhost
S07041	Hallsfarm	\N	53.357	-7.495	Ireland	\N	\N	\N	\N	\N
S02482	La Chaussee Tirancourt, La Sence du Bois	\N	49.950	2.150	France	\N	\N	\N	\N	\N
S02017	GIRIBALDI CIMIEZ CARABACEL	\N	43.712	7.272	France	the site is located in the city of Nice at the southern border of the Cimiez plateau 1.8 km from the sea and 500m west of the river Paillon; it was discovered during the construction of a building and was excavated as part of a rescue programme by D. Binder and his team from March to June 1985 (Binder, 1989 and 1991); the excavation resulted in uncovering a series of sandy clays that were very rich in middle Neolithic remains; the majority of a/bot samples were from an area of 55 m2 belonging to a depression dug in the clay - this depression has produced detrital accumulations (structures 6A, 6B and 7) two wells (structures 3 and 7), as well as the edge of a structure that corresponds with an area of combustion (structure 1) [occupation dated between 5370-5095  BP]; archaeobotany: the plant macrofossils were collected by sieving (not stated whether this was dry- or wet-sieving) during the excavation on a 1 mm mesh (I assume all the plant rmains are charred); a/bot samples listed in table 1 are taken from structures 3, 6, 7 and from two auger holes; wood charcoal analysis led to the identification of 36 taxa that characterize four vegetation zones: mountainous, supramediterranean, lower mesomediterranean and riparian vegetation; 918 (non wood-charcoal) plant remains were identified comprising 29 taxa; Thiebault et al. note that in structure 6B there were fragments of cereal/grain 'cake; potentially edible species are represented in the wood charcoal but not in macro-remains (e.g., Olea, Juglans, Sorbus aria, etc.) [the authors do CA on the remains and note that samples/levels form 4 distinct(?) chronological groups - they interpret these as being characteristic of different vegetation zones/plant resources (e.g., wood for fuel/wild edible plants) that were exploited over time during the occupation; they also suggest that the presence of Olea charcoal is indicative of a period of aridity at teh end of the middle Neolithic occupation]	\N	\N	2023-04-20 15:14:30	adrian@localhost
S20472	Utrecht-Leidsche Rijn 46	Utrecht Province	52.098	5.040	Netherlands	based on the publication groot2024a (not exact location)	2024-07-18 10:50:46	jelena@localhost	2024-07-18 10:50:46	jelena@localhost
S07168	Muingerroon	\N	54.246	-9.799	Ireland	\N	\N	\N	\N	\N
S01312	BLACHETTE SUD	\N	45.950	5.660	France	\N	\N	\N	\N	\N
S11288	Strömmen	Uppland	59.948	17.858	Sweden	\N	2022-11-23 15:51:18	jelena@localhost	2023-02-27 13:39:05	jelena@localhost
S07664	Dobrzejwoice	\N	51.710	15.890	Poland	\N	\N	\N	\N	\N
S08929	Hekelingen 3	\N	51.824	4.335	Netherlands	the small village of Hekelingen is in the polder of Friesland; Hekelingen covers a series of former dwellings - Bakels' report refers to work done at Hekelingen 3: a complex of settlement sites uncovered in 1980 in a rescue excavation; the excavation was carried out by Louwe Kooijimans and de Velde (Nat Mus Leiden); the excavation showed that the creek (where the settlements are located) was active at the time of occupion - the vertical stratigraphy comprises cultural layers interspersed with sterile deposits; at least 4 recurrences of of human settlement can be distinguished - the first 3 were most abundant (=LNeo/Vlaardingen) and the last was Bell Beaker with only scant traces; the excavators considered that there were no more than c.15 people inhabiting the settlements at a time; archaeobotany: intensive sampling/sieving was carried during the excavation; one litre of sediment was sampled per sample; both charred and uncharred remains were preserved (more than 100 samples were investigated in total); Bakels reports on 13 samples from 3 different centres of occupation (from fig. 4 they appear to be stratigraphically discrete) - site A (lowest in the sectinon) is from phase 1 (Vlaardingen 1a); site B is a large site at the highest point of the levee (Vlaardingen 1b/2a); and site D (uppermost in the section) is dated to Vlaardingen 2a; Bakels approximates for numbers of specimens of over 100 - she also gives relative abundance for specimens 'seen in surplus sample' (not sure what this means)Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains+ waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former	\N	\N	\N	\N
S02949	Masmo	\N	59.250	17.880	Sweden	\N	\N	\N	\N	\N
S01932	FONT-BELLE	\N	45.904	-0.309	France	\N	\N	\N	\N	\N
S08953	Schagen Hoep-Noord; Schagen-de Hoep Noord	Noord-Holland Province	52.792	4.806	Netherlands	\N	\N	\N	2024-07-02 12:22:51	jelena@localhost
S05080	Zürich-Seefeld (Kansan)	\N	47.363	8.548	Switzerland	archaeobotany: 2 types of samples are distinguished for the Zurichsee sites: so-called "closed find complexes"  gFK: geschlossenen Fundkomplexen are clearly visible accumulations of macrofossils, e.g., conspicuous clusters of fruit seeds or collections of crop plants (e.g., storage contexts) that represent deposition over a short time and therefore represent a 'snapshot' at the time of deposition; and so-called "open find complexes' oFK: offenen Fundkomplexen that are taken from a uniform grid covering the excavation area or in the form of profile columns and represent average layer conditions and probably reflect a longer period of deposition and often contain a high number of taxa; data entered in db are taken from table D358 in which ubiquities of taxa in the oFK samples are recorded (numbers of taxa are not given; for Kansan-Seefeld db entries: mean ubiquity has been calculated for layers of the same period); Note: a majority of taxa not preserved by charring are wet-loving species (e.g. non economic plants); in the d/base I've been consistent with other sites & entered all charred remains + waterlogged taxa (e.g. fruits&nuts etc.) which had obviously been deliberately collected & brought to the site (e.g. Corylus, Fragaria, Malus, etc.); if a taxon is preserved by charring & waterlogging the ubiquity & total no relate to the former	\N	\N	\N	\N
S04154	Villeneuve Tolosane/Cugnaux	\N	43.530	1.340	France	\N	\N	\N	\N	\N
S12822	Горячево́дский; Goryadchevodskiy; Goryachevodsky	Stavropolskiy kray	44.021	43.097	Russia	location of the town	2024-05-29 09:09:21	jelena@localhost	2024-05-29 09:09:21	jelena@localhost
S08960	Belz - Kerdruellan	\N	47.670	-3.160	France	\N	\N	\N	\N	\N
S08086	Myrhøj	\N	56.800	9.211	Denmark	\N	\N	\N	\N	\N
S20376	Leeuwarden-Bullepolder	Friesland Province	53.201	5.810	Netherlands	based on the publication groot2024a (not exact location)	2024-07-09 13:19:34	jelena@localhost	2024-07-18 12:15:36	jelena@localhost
S07703	Koniusza	\N	50.182	20.217	Poland	\N	\N	\N	\N	\N
S12731	Алгай; Algay	Saratov Oblast	51.296	48.732	Russia	assumed location based on maps in publications	2023-08-31 08:36:25	jelena@localhost	2023-08-31 08:36:25	jelena@localhost
S10809	Însurăței; Însurăței-Popină I	Brăila County	44.963	27.615	Romania	\N	2022-05-05 10:35:26	jelena@localhost	2023-07-26 06:48:06	jelena@localhost
S06654	Thorne Moor	\N	53.627	-0.919	Great Britain	\N	\N	\N	\N	\N
S10727	Koprivnicka Rijeka-Rudina 1; Rudina	\N	46.116	16.630	Croatia	\N	2022-04-13 14:19:15	jelena@macelab-server.biochem.ucl.ac.uk	2023-10-13 14:45:20	jan@localhost
S20574	Fuglslev	Jutland	56.286	10.716	Denmark	\N	2024-09-27 15:36:53	alice_revill@localhost	2024-09-27 15:36:53	alice_revill@localhost
S11911	Солончены 2; Solonceni 2	Rezina district	47.832	29.003	Moldova	location of the village	2023-03-28 08:44:09	jelena@localhost	2023-03-28 08:44:09	jelena@localhost
S20826	Valencina-Castilleja	\N	37.420	-6.070	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S03549	Rotterdam-Ijsselmonde	\N	51.884	4.546	Netherlands	\N	\N	\N	\N	\N
S02833	LOCMARIAQUER ER GRAH	Brittany	47.567	-2.950	France	\N	\N	\N	2024-08-12 18:00:40	fredrik@localhost
S10261	Foeni-Sălaș	\N	45.500	20.875	Romania	\N	2022-01-25 12:22:59	jelena@localhost	2023-06-16 18:25:08	jan@localhost
S03411	Quedlinburg, Hammwarte	\N	51.780	11.140	Germany	\N	\N	\N	\N	\N
S03493	Rishworth Drain	\N	53.647	-2.026	Great Britain	\N	\N	\N	\N	\N
S20424	Ferwerderadeel-Oosterbeintum	Friesland Province	53.341	5.870	Netherlands	based on the publication groot2024a (not exact location)	2024-07-16 13:52:04	jelena@localhost	2024-07-16 13:52:04	jelena@localhost
S01600	CORMORANCHE SUR SAONE	\N	46.240	4.800	France	\N	\N	\N	\N	\N
S12714	Balassagyarmat-Káposztások	Nógrád county	48.060	19.320	Hungary	location of the town	2023-07-20 11:29:48	jelena@localhost	2023-07-20 11:29:48	jelena@localhost
S07702	Konarzewo 5	\N	52.335	16.715	Poland	\N	\N	\N	\N	\N
S06366	Ferring	\N	50.810	-0.454	Great Britain	\N	\N	\N	\N	\N
S07143	Marlhill	\N	52.447	-7.904	Ireland	\N	\N	\N	\N	\N
S20841	Vidigueiras 2	\N	38.390	-7.500	Portugal	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S21059	Rákoskeresztúr-Újmajor	\N	47.473	19.219	Hungary	\N	2025-08-29 19:06:05	natalia_riabogina@localhost	2025-08-29 19:06:05	natalia_riabogina@localhost
S13294	Trnovo pri Ilirski Bistrici	\N	45.570	14.251	Slovenia	\N	2024-05-21 15:33:22	jan@localhost	2024-05-21 15:33:22	jan@localhost
S13202	Kirstineborg; 141102-49	Jutland	56.234	10.268	Denmark	\N	2024-03-20 15:58:57	helene@localhost	2024-03-20 15:58:57	helene@localhost
S20344	Leiden Stevenshofjespolder vpl I en II	Zuid-Holland Province	52.158	4.499	Netherlands	based on the publication groot2024a (not exact location)	2024-07-08 14:42:25	jelena@localhost	2024-07-16 13:41:54	jelena@localhost
S04131	Vendenheim	\N	48.660	7.710	France	\N	\N	\N	\N	\N
S06995	Duntryleague	\N	52.405	-8.353	Ireland	\N	\N	\N	\N	\N
S10225	Salpetermosen; 10305-8	\N	55.932	12.306	Denmark	Within 10 km	2022-01-25 12:41:51	sam@localhost	2022-01-25 12:41:51	sam@localhost
S01966	Fuchsberg; Fuchsberg-Südensee	\N	54.420	9.400	Germany	\N	\N	\N	2024-10-18 11:48:44	jelena@localhost
S20679	Larache	\N	-22.908	-68.198	Chile	Found to city with GoogleMaps; within 3 km	2024-10-15 11:47:33	sam@localhost	2024-10-15 11:47:33	sam@localhost
S08023	Kornerup	\N	55.634	11.982	Denmark	\N	\N	\N	\N	\N
S03305	PILON DU ROY	\N	43.330	5.480	France	\N	\N	\N	\N	\N
S07981	Ingelstorp 31:6	\N	55.435	14.033	Sweden	\N	\N	\N	\N	\N
S20785	Érd-Hosszúföldek	\N	47.338	18.894	Hungary	\N	2024-11-14 15:29:18	jan@localhost	2024-11-14 15:29:18	jan@localhost
S08193	Torshøj	\N	57.337	10.308	Denmark	\N	\N	\N	\N	\N
S10473	Staßfurt	\N	51.861	11.579	Germany	Google Earth: +/- 5km radius	2022-04-12 11:31:23	robert@localhost	2022-04-12 12:31:23	robert@localhost
S07196	Pubble	\N	54.728	-7.376	Ireland	\N	\N	\N	\N	\N
S11873	Chłopice 26; Chlopice 26	Subcarpathian region	49.957	22.660	Poland	Given in publication, converted decimal	2023-03-09 10:54:26	sam@localhost	2025-03-20 13:18:55	jelena@localhost
S06574	Ribchester	\N	53.811	-2.535	Great Britain	\N	\N	\N	\N	\N
S20546	Endröd 35	\N	47.910	21.830	Hungary	\N	2024-09-10 11:41:42	jan@localhost	2024-09-10 11:42:43	jan@localhost
S20830	Alto de la Huesera	\N	42.570	-2.570	Spain	Location in publication	2024-11-29 11:43:21	sam@localhost	2024-11-29 11:43:21	sam@localhost
S08353	Argus bank; 401636-9	Lolland-Falster	54.918	11.689	Denmark	\N	\N	\N	2024-03-19 14:55:48	helene@localhost
S07039	Greenfield	\N	52.185	-8.929	Ireland	\N	\N	\N	\N	\N
S12522	Noname Gora	Kakheti	41.242	46.320	Georgia	according the article map, nonpublished location	2023-06-02 15:48:43	natalya@localhost	2023-06-02 15:48:43	natalya@localhost
S12601	Bischwihr "Muelhaecker 7"	Haut-Rhin	48.098	7.437	France	\N	2023-06-21 08:36:16	robert@localhost	2023-06-21 08:36:16	robert@localhost
S11602	Budkovice	Brno-venkov	49.070	16.370	Czechia / Czech Republic	\N	2023-02-22 13:12:14	jan@localhost	2023-03-07 14:45:25	jan@localhost
S07156	Mooghaun	\N	52.792	-8.875	Ireland	\N	\N	\N	\N	\N
S10621	Bòbila Madurell	\N	41.544	2.083	Spain	\N	2022-04-08 13:50:10	maria@localhost	2022-04-08 14:50:10	maria@localhost
S06634	St Donats	\N	51.470	-3.388	Great Britain	\N	\N	\N	\N	\N
S12628	Žlebič	\N	45.774	14.695	Slovenia	location of the village	2023-06-28 12:23:51	jelena@localhost	2023-06-28 12:23:51	jelena@localhost
S08172	Store Åmose	\N	55.594	11.559	Denmark	\N	\N	\N	\N	\N
S07404	Haldensleben	\N	52.280	11.410	Germany	\N	\N	\N	\N	\N
S10919	Žádovice; Zadovice	Hodonín	49.012	17.195	Czechia / Czech Republic	Aproximate location	2022-05-10 11:31:52	jelena@localhost	2025-04-23 09:35:23	dominika_schmidtova@localhost
S02801	Lietzow-Buddelin	\N	54.483	13.517	Germany	\N	\N	\N	\N	\N
S20893	Hariachkivka 7; Гарячкiвка 7	Vinnytsia region	48.315	28.768	Ukraine	\N	2024-12-18 19:26:53	natalya@localhost	2024-12-23 08:13:03	jelena@localhost
S11646	Jistebsko – parcel 350/1	Jablonec nad Nisou	50.704	15.212	Czechia / Czech Republic	\N	2023-02-22 14:17:39	jan@localhost	2023-03-07 14:45:25	jan@localhost
